,user_screen_name,user_name
65959,Jede_Daryono,Jo_kodar_yono
66014,newsragen,SRAGEN ASRI
66021,eka_harijanto,Kang Eka
66030,Cak_X01,Lanang Del Rey
66036,BentangImaji,Bentang Imaji
66037,Darling70881519,Darling ❤NKRI🇮🇩Harga Mati
66400,TeweL0101,TeWeL
66442,anang_batas,#ndasma
66559,manshurjunedi,manshur
66569,andrew812,andrew
66635,SirianaGde,Siriana
66758,Tetap_Nyaman,GARUDA
66828,Ndukla2,Ndukla
66833,RicKY_KCh,Berkoalisi Dengan Rakyat {RicKY Kurniawan}
66882,ikhwan2a,IKwn
67049,MalaKlose,MaLa
67195,Dee_01984,Ɖɛɛ_™
67371,PakarINTELek,Pakar INTELek
67523,AntiPengPeng,OligarkiJahat
67611,adpimkaltara,Biro Adpim Kaltara
98405,Gulojowo_0911,GENDIZ
98510,SBahriTweet,SBahri 🇮🇩🇵🇸
98569,AKHLAK_ID,R E B Y
98739,Hantoro2011,HANTORO
98772,man2aja,SCUDETTO #19 #FORZAMILAN
98809,SayaTopo,Anumu dan Anuku🍀🇲🇨
98890,himura89517038,himura 🏴🏴
98913,PerahuBambu,LilinKecil
99018,pembela_nalar,Dian
99049,SuremetO,PELAYANAN JENAZAH 24 JAM🇲🇨
99095,TriAditha,Tri Aditha Nugraha
99097,kesittt,kesit 🇮🇩
99222,H4l1mun_D1n61n,G BENSON 😎
99797,syahputra2019,Syahputra St.
99831,seputarjabar,Seputar Jabar
100021,Nyi_Maheswari,Nyi Maheswari
100047,QR_GGS,@eR_ajah
100077,Mira_SasMiita,Jokowi BangET
100079,GP_Lombok,#MandalikaLombok 
100161,B112D1,Atung Enda 👴
100165,SINETR0N,sinetron
100197,valentina_rama,❣️𝕍𝕒𝕝𝕖𝕟𝕥𝕚𝕟𝕒 𝕍𝕚𝕕𝕪𝕒🦋
101131,BungLaca,Terselubung Layar Kaca
101142,iwaNKRSmas,MasIWA
101663,Uki23,Dedek Prayudi - Uki || (ig: @uki_dedek)
101672,Berita_TU,Berita Terupdate
102111,Shintaakamu,Shinta Prawitasari
102231,BPBDKabBandung,BPBD Kab Bandung
102519,Megatop99,DECK_VAN_PROJO
103444,dani_ra_well,Heru Bonggol
103852,jaya_pancasila,Jinggaviolet
103899,viavianiii,Via
103993,giewhydi,Gie Wahyudi
104822,jauntyallegory,Juju Potabee
105522,KKusumawardani,Karina Kusumawardani
105567,arifwijaksan4,ARIF WIJAKSANA
105947,RetroReb0rn,𝔻ę𝘸𝐚
105961,abunsamsul,🇮🇩(Dark Matter 💫)
105975,Enimarf,Eni
106000,kalimayafashion,Santo
106003,Mr_As_Opal,Mr As Opal
108844,jokowi,Joko Widodo
108898,tom_sidq,tomboys🍀
109356,PatrickGuchiano,Patrick
109491,RelawanUMKM,Deyna7475 Pucung Gondhess
109716,bbyEmily01,💵 BIG WIN TERUS 💸💰
109794,retnosetyow4t,🍒 retno
109987,ruangguru,ruangguru
110568,InfoPewarta,InfoPewarta
110639,BatikRiwa,🅰🅱🅳🆄🅻 NFN
110647,KangCendol_33,☕RMS☕
110660,MohArifWidarto,Petani Tanpa Subsidi
110688,MSSFunkdelic,𝔻𝕒𝕕𝕖 𝕄𝕊𝕊𝔽𝕦𝕟𝕜𝕕𝕖𝕝𝕚𝕔
110856,RidwanulHakim6,Ridwanul Hakim
110877,BeloSuki,Official:: Abah Bodo.... humanis-humoris...
111235,Dreamcoid,Dream.co.id
111361,Anomali_Xd2,Arus_Bawah™
111366,LiterasiTypo,𝕋𝕪𝕡𝕠
