user_screen_name,user_name,gender
eka_harijanto,Kang Eka,
Cak_X01,Lanang Del Rey,
BentangImaji,Bentang Imaji,
Darling70881519,Darling ❤NKRI🇮🇩Harga Mati,
TeweL0101,TeWeL,
anang_batas,#ndasma,
manshurjunedi,manshur,
andrew812,andrew,m
SirianaGde,Siriana,
Tetap_Nyaman,GARUDA,
Ndukla2,Ndukla,
RicKY_KCh,Berkoalisi Dengan Rakyat {RicKY Kurniawan},
ikhwan2a,IKwn,
MalaKlose,MaLa,
Dee_01984,Ɖɛɛ_™,
PakarINTELek,Pakar INTELek,
AntiPengPeng,OligarkiJahat,
adpimkaltara,Biro Adpim Kaltara,
Gulojowo_0911,GENDIZ,
SBahriTweet,SBahri 🇮🇩🇵🇸,
AKHLAK_ID,R E B Y,
Hantoro2011,HANTORO,
man2aja,SCUDETTO #19 #FORZAMILAN,
SayaTopo,Anumu dan Anuku🍀🇲🇨,
himura89517038,himura 🏴🏴,
PerahuBambu,LilinKecil,
pembela_nalar,Dian,w
SuremetO,PELAYANAN JENAZAH 24 JAM🇲🇨,
TriAditha,Tri Aditha Nugraha,m
kesittt,kesit 🇮🇩,
H4l1mun_D1n61n,G BENSON 😎,
syahputra2019,Syahputra St.,m
seputarjabar,Seputar Jabar,
Nyi_Maheswari,Nyi Maheswari,w
QR_GGS,@eR_ajah,
Mira_SasMiita,Jokowi BangET,
GP_Lombok,#MandalikaLombok ,
B112D1,Atung Enda 👴,
SINETR0N,sinetron,
valentina_rama,❣️𝕍𝕒𝕝𝕖𝕟𝕥𝕚𝕟𝕒 𝕍𝕚𝕕𝕪𝕒🦋,
BungLaca,Terselubung Layar Kaca,
iwaNKRSmas,MasIWA,
Uki23,Dedek Prayudi - Uki || (ig: @uki_dedek),
Berita_TU,Berita Terupdate,
Shintaakamu,Shinta Prawitasari,
BPBDKabBandung,BPBD Kab Bandung,
Megatop99,DECK_VAN_PROJO,
dani_ra_well,Heru Bonggol,
jaya_pancasila,Jinggaviolet,
viavianiii,Via,w
giewhydi,Gie Wahyudi,
jauntyallegory,Juju Potabee,
KKusumawardani,Karina Kusumawardani,w
arifwijaksan4,ARIF WIJAKSANA,m
RetroReb0rn,𝔻ę𝘸𝐚,
abunsamsul,🇮🇩(Dark Matter 💫),
Enimarf,Eni,
kalimayafashion,Santo,
Mr_As_Opal,Mr As Opal,
jokowi,Joko Widodo,
tom_sidq,tomboys🍀,
PatrickGuchiano,Patrick,
RelawanUMKM,Deyna7475 Pucung Gondhess,
bbyEmily01,💵 BIG WIN TERUS 💸💰,
retnosetyow4t,🍒 retno,
ruangguru,ruangguru,
InfoPewarta,InfoPewarta,
BatikRiwa,🅰🅱🅳🆄🅻 NFN,
KangCendol_33,☕RMS☕,
MohArifWidarto,Petani Tanpa Subsidi,
MSSFunkdelic,𝔻𝕒𝕕𝕖 𝕄𝕊𝕊𝔽𝕦𝕟𝕜𝕕𝕖𝕝𝕚𝕔,
RidwanulHakim6,Ridwanul Hakim,m
BeloSuki,Official:: Abah Bodo.... humanis-humoris...,
Dreamcoid,Dream.co.id,
Anomali_Xd2,Arus_Bawah™,
